"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"gonzalez","vicente","100","TX","federal:house","TX15","I","M",-0.194,-0.224,5692,"1257881.45 USD",1,"W",50.5,"W"
"cohen","stephen","100","TN","federal:house","TN09","I","M",-0.321,-0.539,3303,"608930.06 USD",0.8402,"W",77.37,"W"
"roe","david","200","TN","federal:house","TN01","I","M",1.162,1.167,1771,"141221 USD",NA,NA,NA,NA
"fitzpatrick","brian","200","PA","federal:house","PA01","I","M",0.55,0.485,7856,"4240717.33 USD",0.6315,"W",56.43,"W"
"evans","dwight","100","PA","federal:house","PA03","I","M",-0.725,-0.564,7753,"947183.81 USD",1,"W",90.9,"W"
"walden","gregory","200","OR","federal:house","OR02","I","M",0.826,1.048,8384,"1642609.97 USD",NA,NA,NA,NA
"jordan","james","200","OH","federal:house","OH04","I","M",1.525,1.606,113765,"18637124.6 USD",1,"W",67.85,"W"
"suozzi","thomas","100","NY","federal:house","NY03","I","M",-0.344,-0.802,38202,"2960576.85 USD",0.6638,"W",52.59,"W"
"pascrell","william","100","NJ","federal:house","NJ09","I","M",-0.498,-0.628,8581,"1607398.33 USD",0.8063,"W",65.8,"W"
"bacon","donald","200","NE","federal:house","NE02","I","M",1.052,1.336,9516,"3790454.61 USD",0.9061,"W",50.77,"W"
"cano","fernando","100","NC","federal:house","NC09","C","M",-1.247,-1.164,179,"8137.5 USD",NA,NA,NA,NA
"craig","angela","100","MN","federal:house","MN02","I","F",-0.93,-0.911,29575,"5676522.49 USD",1,"W",48.18,"W"
"bergman","john","200","MI","federal:house","MI01","I","M",1.079,1.224,3650,"1985526.54 USD",1,"W",61.65,"W"
"johnson","james","200","LA","federal:house","LA04","I","M",1.22,1.497,84642,"1323911.12 USD",1,"W",60.43,"W"
"higgins","clay","200","LA","federal:house","LA03","I","M",1.301,NA,2451,"767293.29 USD",0.001,"W",67.76,"W"
"stepp","kenneth","100","KY","federal:house","KY05","C","M",-0.989,-0.858,35,"173 USD",NA,NA,NA,NA
"marshall","roger","200","KS","federal:house","KS01","I","M",1.252,1.214,11646,"13522287.1 USD",NA,NA,NA,NA
"krishnamoorthi","s raja","100","IL","federal:house","IL08","I","M",-0.781,-0.824,46113,"6411078.44 USD",0.7994,"W",73.16,"W"
"johnson","henry","100","GA","federal:house","GA04","I","M",-0.858,-0.609,4390,"636162.75 USD",0.6841,"W",80.08,"W"
"rooney","francis","200","FL","federal:house","FL19","I","M",1.357,1.26,708,"6797.35 USD",NA,NA,NA,NA
"walker","kimberly","100","FL","federal:house","FL12","C","F",-1.181,-1.14,558,"42802.1 USD",1,"W",37.12,"L"
"bilirakis","gus","200","FL","federal:house","FL12","I","M",0.861,1.031,8848,"1609445.83 USD",1,"W",62.88,"W"
"murphy","stephanie","100","FL","federal:house","FL07","I","F",-0.473,-0.609,6363,"3154665.17 USD",1,"W",55.34,"W"
"mills","ralph","200","FL","federal:house","FL01","C","M",2.606,2.688,5,"27049.12 USD",0.0961,"L",NA,NA
"cohen","ronald","200","CA","federal:house","CA17","C","M",1.644,1.563,4,"0 USD",NA,NA,NA,NA
"biggs","andy","200","AZ","federal:house","AZ05","I","M",1.387,1.494,8205,"1704233.12 USD",0.9956,"W",58.88,"W"
"grothman","glenn","200","WI","federal:house","WI06","I","M",1.435,1.432,6354,"1829916.45 USD",0.9971,"W",59.23,"W"
"moore","gwen","100","WI","federal:house","WI04","I","F",-0.744,-0.921,4197,"1199156.96 USD",0.9943,"W",74.65,"W"
"mcmorris rodgers","cathy","200","WA","federal:house","WA05","I","F",1.247,1.196,17186,"4419970.26 USD",0.5273,"W",61.29,"W"
"lee","sheila","100","TX","federal:house","TX18","I","F",-0.493,-0.778,5219,"1068464.88 USD",0.7708,"W",73.29,"W"
"boyle","brendan","100","PA","federal:house","PA02","I","M",-0.41,-0.638,4306,"1560584.3 USD",1,"W",72.47,"W"
"higgins","brian","100","NY","federal:house","NY26","I","M",-0.314,-0.302,4956,"1128729.72 USD",1,"W",63.26,"W"
"stefanik","elise","200","NY","federal:house","NY21","I","F",1.322,1.196,127189,"13349928.94 USD",1,"W",52.9,"W"
"rice","kathleen","100","NY","federal:house","NY04","I","F",-0.543,-0.856,7119,"1124280.24 USD",1,"W",56.13,"W"
"coleman","bonnie","100","NJ","federal:house","NJ12","I","F",-0.904,-0.882,5858,"806729.36 USD",0.8919,"W",65.64,"W"
"wildes","michael","100","NJ","federal:house","NJ09","C","M",-0.064,-0.715,510,"83674.49 USD",NA,NA,NA,NA
"fortenberry","jeffrey","200","NE","federal:house","NE01","I","M",1.144,1.251,3579,"1479931.94 USD",1,"W",59.52,"W"
"walker","bradley","200","NC","federal:house","NC06","I","M",1.225,1.386,3426,"893357.37 USD",NA,NA,NA,NA
"thompson","bennie","100","MS","federal:house","MS02","I","M",-0.464,-0.91,5495,"1379891.97 USD",0.9399,"W",66.02,"W"
"smith","jason","200","MO","federal:house","MO08","I","M",1.124,1.238,15941,"1902371.34 USD",1,"W",76.86,"W"
"dingell","debbie","100","MI","federal:house","MI12","I","F",-0.605,-0.83,7235,"1633275.73 USD",0.8093,"W",66.43,"W"
"moolenaar","john","200","MI","federal:house","MI04","I","M",1.048,1.139,5265,"1534896.16 USD",1,"W",65,"W"
"ferguson","dana","100","MI","federal:house","MI01","C","F",-1.041,-1.005,1968,"0 USD",NA,NA,NA,NA
