"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"signorello","joseph","100","NJ","federal:senate","NJS24","C","M",-0.831,NA,727,"83900.6 USD",NA,NA,NA,NA
"booker","cory","100","NJ","federal:senate","NJS26","I","M",-0.988,-0.696,142399,"7919520.16 USD",NA,NA,NA,NA
"love","preston","100","NE","federal:senate","NES24","C","M",-1.012,NA,1757,"283232.43 USD",NA,NA,NA,NA
"osborn","dan","328","NE","federal:senate","NES24","C","M",-1.024,NA,125726,"15129327.27 USD",NA,NA,NA,NA
"tillis","thom","200","NC","federal:senate","NCS26","I","M",0.805,1.716,68295,"2474642.46 USD",NA,NA,NA,NA
"mygland","jeremy","200","MT","federal:senate","MTS24","C","M",1.728,NA,106,"35717.24 USD",NA,NA,NA,NA
"eubanks","dan","200","MS","federal:senate","MSS24","C","M",0.835,1.104,97,"52717.97 USD",NA,NA,NA,NA
"young","jared","328","MO","federal:senate","MOS24","C","M",0.84,NA,104,"1004183.45 USD",NA,NA,NA,NA
"harmon","december","100","MO","federal:senate","MOS24","C","F",-1.256,NA,60,"18462.5 USD",NA,NA,NA,NA
"fraser","joseph","200","MN","federal:senate","MNS24","C","M",1.399,NA,360,"77212.83 USD",NA,NA,NA,NA
"amash","justin","200","MI","federal:senate","MIS24","O","M",0.857,1.223,3897,"914568.42 USD",NA,NA,NA,NA
"wilson","glenn","200","MI","federal:senate","MIS24","O","M",1.316,NA,15,"298954.93 USD",NA,NA,NA,NA
"craig","james","200","MI","federal:senate","MIS24","O","M",1.633,1.63,21164,"136670.33 USD",NA,NA,NA,NA
"savage","sharon","200","MI","federal:senate","MIS24","O","F",2.539,NA,2,"100130.61 USD",NA,NA,NA,NA
"harper","frank","100","MI","federal:senate","MIS24","O","M",-0.906,NA,12819,"3149518.74 USD",NA,NA,NA,NA
"pugh","pamela","100","MI","federal:senate","MIS24","O","F",-0.983,-0.995,5804,"0 USD",NA,NA,NA,NA
"beydoun","nasser","100","MI","federal:senate","MIS24","O","M",-0.899,NA,5613,"981756.15 USD",NA,NA,NA,NA
"slotkin","elissa","100","MI","federal:senate","MIS24","O","F",-0.992,-0.992,272587,"51937060.2 USD",NA,NA,NA,NA
"hoover","michael","200","MI","federal:senate","MIS24","O","M",1.668,NA,61,"236591.72 USD",NA,NA,NA,NA
"kouzounas","demi","200","ME","federal:senate","MES24","C","F",1.459,NA,1531,"1027791.62 USD",NA,NA,NA,NA
"myrick","john","200","MD","federal:senate","MDS24","O","M",1.465,NA,7,"8019.23 USD",NA,NA,NA,NA
"teichert","john","200","MD","federal:senate","MDS24","O","M",1.493,NA,2404,"355612.94 USD",NA,NA,NA,NA
"alsobrooks","angela","100","MD","federal:senate","MDS24","O","F",-0.96,-0.909,119851,"31077805.53 USD",NA,NA,NA,NA
"jawando","will","100","MD","federal:senate","MDS24","O","M",-0.923,-0.911,2339,"761154.89 USD",NA,NA,NA,NA
"cain","ian","200","MA","federal:senate","MAS24","C","M",1.17,NA,2665,"418170.53 USD",NA,NA,NA,NA
"antonellis","robert","200","MA","federal:senate","MAS24","C","M",1.442,NA,22,"41279.47 USD",NA,NA,NA,NA
"cassidy","william","200","LA","federal:senate","LAS26","I","M",0.654,0.836,19475,"4060477.24 USD",NA,NA,NA,NA
"carmichael","robert","100","IN","federal:senate","INS24","O","M",-0.612,NA,461,"119821.39 USD",NA,NA,NA,NA
"rust","john","200","IN","federal:senate","INS24","O","M",1.604,NA,7,"2992413.25 USD",NA,NA,NA,NA
"ernst","joni","200","IA","federal:senate","IAS26","I","F",1.394,1.317,121375,"2921862.7 USD",NA,NA,NA,NA
"schatz","brian","100","HI","federal:senate","HIS28","I","M",-0.581,-0.651,13502,"525033.39 USD",NA,NA,NA,NA
"bonoan","feena","328","FL","federal:senate","FLS24","C","U",0.958,NA,13,"19716.9 USD",NA,NA,NA,NA
"mucarsel powell","debbie","100","FL","federal:senate","FLS24","C","F",-0.961,-0.853,262379,"36616416.21 USD",NA,NA,NA,NA
"ehr","phillip","100","FL","federal:senate","FLS24","C","M",-0.991,-0.578,42173,"2399215.26 USD",NA,NA,NA,NA
"horan","donald","100","FL","federal:senate","FLS24","C","M",-0.965,NA,31,"73455 USD",NA,NA,NA,NA
"hansen","eric","200","DE","federal:senate","DES24","O","M",1.302,NA,350,"1015951.4 USD",NA,NA,NA,NA
"smith","gerard","200","CT","federal:senate","CTS24","C","M",1.481,NA,223,"68292.58 USD",NA,NA,NA,NA
"bassett","sharleta","200","CA","federal:senate","CAS24","O","U",1.632,NA,35,"23079 USD",NA,NA,NA,NA
"gilani","sepi","100","CA","federal:senate","CAS24","O","U",-0.655,NA,42,"13764 USD",NA,NA,NA,NA
"garvey","steve","200","CA","federal:senate","CAS24","O","M",1.489,NA,82003,"20356132.85 USD",NA,NA,NA,NA
"ruzon","mark","328","CA","federal:senate","CAS24","O","M",1.001,NA,8,"25489.13 USD",NA,NA,NA,NA
"reiss","jonathan","200","CA","federal:senate","CAS24","O","M",1.293,NA,50,"14156.17 USD",NA,NA,NA,NA
"rab","aejaz","100","CA","federal:senate","CAS24","O","U",-0.257,-0.537,54,"20900 USD",NA,NA,NA,NA
"schiff","adam","100","CA","federal:senate","CAS24","O","M",-0.962,-0.887,513637,"96291793.56 USD",NA,NA,NA,NA
"gary pandol","denice","200","CA","federal:senate","CAS24","O","F",1.265,NA,236,"101984.99 USD",NA,NA,NA,NA
"williams","sarah","328","AZ","federal:senate","AZS24","O","F",-1.157,NA,4,"14715 USD",NA,NA,NA,NA
"lamb","mark","200","AZ","federal:senate","AZS24","O","M",1.539,NA,13027,"2189531.78 USD",NA,NA,NA,NA
"cotton","thomas","200","AR","federal:senate","ARS26","I","M",1.362,1.044,54080,"2488964.09 USD",NA,NA,NA,NA
"baldwin","tammy","100","WI","federal:senate","WIS24","I","F",-1.127,-0.964,299087,"50228545.14 USD",NA,NA,NA,NA
"malloy","gerald","200","VT","federal:senate","VTS24","C","M",1.37,1.453,1425,"662959.83 USD",NA,NA,NA,NA
"kaine","timothy","100","VA","federal:senate","VAS24","I","M",-0.951,-0.782,128187,"18308453.68 USD",NA,NA,NA,NA
"cornyn","john","200","TX","federal:senate","TXS26","I","M",1.335,1.355,99053,"3377426.45 USD",NA,NA,NA,NA
"mccormick","dave","200","PA","federal:senate","PAS24","C","M",1.22,NA,80207,"35970836.83 USD",NA,NA,NA,NA
"dolan","matt","200","OH","federal:senate","OHS24","C","M",0.75,0.992,4812,"12722612.85 USD",NA,NA,NA,NA
"sare","diane","328","NY","federal:senate","NYS24","C","F",-0.218,NA,703,"508500.31 USD",NA,NA,NA,NA
"brown","sam","200","NV","federal:senate","NVS24","C","M",1.498,1.595,90893,"24063366.48 USD",NA,NA,NA,NA
"fischer","debra","200","NE","federal:senate","NES24","I","F",1.059,1.181,17066,"6555361.2 USD",NA,NA,NA,NA
"budd","theodore","200","NC","federal:senate","NCS28","I","M",1.475,1.46,41986,"2111873.54 USD",NA,NA,NA,NA
"daines","steve","200","MT","federal:senate","MTS26","I","M",1.081,1.319,152328,"1682254.18 USD",NA,NA,NA,NA
"schmitt","eric","200","MO","federal:senate","MOS28","I","M",1.445,1.315,9346,"1957979.62 USD",NA,NA,NA,NA
"king","angus","100","ME","federal:senate","MES24","I","M",-0.764,-0.524,9478,"5368767 USD",NA,NA,NA,NA
"mcconnell","mitch","200","KY","federal:senate","KYS26","I","M",1.006,1.171,311730,"1203839.87 USD",NA,NA,NA,NA
"hirono","mazie","100","HI","federal:senate","HIS24","I","F",-0.892,-0.775,28855,"3292048.88 USD",NA,NA,NA,NA
"hyde","robert","200","CT","federal:senate","CTS24","C","M",1.229,1.024,264,"1744.75 USD",NA,NA,NA,NA
"padilla","alex","100","CA","federal:senate","CAS28","I","M",-0.802,-0.783,16937,"754150.94 USD",NA,NA,NA,NA
"britt","katie","200","AL","federal:senate","ALS28","I","F",1.36,NA,35835,"3907112.1 USD",NA,NA,NA,NA
"manchin","joe","100","WV","federal:senate","WVS24","I","M",0.05,-0.372,26715,"2997445.59 USD",NA,NA,NA,NA
"lee","mike","200","UT","federal:senate","UTS28","I","M",1.483,1.121,95982,"5138473.2 USD",NA,NA,NA,NA
"hagerty","bill","200","TN","federal:senate","TNS26","I","M",1.358,1.243,33316,"4906088.81 USD",NA,NA,NA,NA
"gillibrand","kirsten","100","NY","federal:senate","NYS24","I","F",-0.887,-0.782,215348,"9798986.57 USD",NA,NA,NA,NA
"hoeven","john","200","ND","federal:senate","NDS28","I","M",1.13,1.26,7188,"530749.5 USD",NA,NA,NA,NA
"paul","rand","200","KY","federal:senate","KYS28","I","M",1.429,1.646,120527,"8490873.16 USD",NA,NA,NA,NA
"warnock","raphael","100","GA","federal:senate","GAS28","I","M",-1.11,-0.903,1911562,"4819907.15 USD",NA,NA,NA,NA
"coons","christopher","100","DE","federal:senate","DES26","I","M",-0.55,-0.702,21178,"1749727.9 USD",NA,NA,NA,NA
"hickenlooper","john","100","CO","federal:senate","COS26","I","M",-0.846,-0.893,172203,"1160079.25 USD",NA,NA,NA,NA
"kelly","mark","100","AZ","federal:senate","AZS28","I","M",-1.088,-0.766,825602,"10864653.95 USD",NA,NA,NA,NA
"tuberville","thomas","200","AL","federal:senate","ALS26","I","M",1.35,NA,17841,"2191049.2 USD",NA,NA,NA,NA
"carter","willie","100","00","federal:president","PRES","C","M",-2.017,-1.703,9,"7431.45 USD",NA,NA,NA,NA
"christie","chris","200","00","federal:president","PRES","C","M",0.014,0.832,60971,"7628084.62 USD",NA,NA,NA,NA
"terry","randal","328","00","federal:president","PRES","C","M",1.645,NA,422,"596542.73 USD",NA,NA,NA,NA
"palmer","jason","100","00","federal:president","PRES","C","M",-0.614,NA,162,"953373.39 USD",NA,NA,NA,NA
"uygur","cenk","100","00","federal:president","PRES","C","",-1.092,NA,7206,"547713.67 USD",NA,NA,NA,NA
"rectenwald","michael","328","00","federal:president","PRES","C","M",1.249,NA,47,"85862.87 USD",NA,NA,NA,NA
"smith","joshua","328","00","federal:president","PRES","C","M",1.309,NA,18,"21970.02 USD",NA,NA,NA,NA
"hurd","william","200","00","federal:president","PRES","C","M",-0.147,NA,2442,"1451894.03 USD",NA,NA,NA,NA
"sonski","peter","328","00","federal:president","PRES","C","M",0.579,NA,53,"87899.72 USD",NA,NA,NA,NA
"west","cornel","328","00","federal:president","PRES","C","M",-1.287,NA,1033,"1398321.09 USD",NA,NA,NA,NA
"pence","mike","200","00","federal:president","PRES","C","M",1.192,NA,14904,"7150753.11 USD",NA,NA,NA,NA
"elder","larry","200","00","federal:president","PRES","C","M",1.504,NA,31439,"1376324.53 USD",NA,NA,NA,NA
"ayyadurai","shiva","328","00","federal:president","PRES","C","F",0.934,NA,81,"169036.35 USD",NA,NA,NA,NA
"binkley","ryan","200","00","federal:president","PRES","C","M",1.308,NA,1972,"11884131.37 USD",NA,NA,NA,NA
"kennedy","robert","328","00","federal:president","PRES","C","M",0.125,NA,40778,"67278247.27 USD",NA,NA,NA,NA
"haley","nikki","200","00","federal:president","PRES","C","F",0.71,1.262,258590,"58378347.5 USD",NA,NA,NA,NA
"johnson","perry","200","00","federal:president","PRES","C","M",1.45,NA,8501,"29704589.21 USD",NA,NA,NA,NA
"camilleri","charles","100","00","federal:president","PRES","C","M",-1.703,NA,3,"41248 USD",NA,NA,NA,NA
"roberts","rollan","200","00","federal:president","PRES","C","M",0.539,NA,22,"1283083.14 USD",NA,NA,NA,NA
"hudson","anthony","200","00","federal:president","PRES","C","M",1.724,NA,59,"282095.22 USD",NA,NA,NA,NA
"castro","john","200","00","federal:president","PRES","C","M",-1.53,NA,24,"23998.74 USD",NA,NA,NA,NA
"mapstead","lars","328","00","federal:president","PRES","C","M",1.338,1.339,11,"993735.78 USD",NA,NA,NA,NA
"hornberger","jacob","328","00","federal:president","PRES","C","M",1.251,1.245,96,"75109.18 USD",NA,NA,NA,NA
"williamson","marianne","100","00","federal:president","PRES","C","F",-1.01,-0.954,105198,"5404966.53 USD",NA,NA,NA,NA
"miller","carol","200","WV","federal:house","WV01","I","F",1.095,1.161,2857,"1751492 USD",NA,NA,NA,NA
"schrier","kim","100","WA","federal:house","WA08","I","F",-1.011,-1.015,30292,"6530378.69 USD",NA,NA,NA,NA
"helmer","daniel","100","VA","federal:house","VA10","O","M",-0.798,-0.897,7089,"2010212.47 USD",NA,NA,NA,NA
"cline","benjamin","200","VA","federal:house","VA06","I","M",1.179,1.314,1970,"1030467.03 USD",NA,NA,NA,NA
"herrod","christopher","200","UT","federal:house","UT03","O","M",1.435,1.365,540,"11598 USD",NA,NA,NA,NA
"allred","colin","100","TX","federal:house","TX32","I","M",-1.013,-1.023,635644,"598126.42 USD",NA,NA,NA,NA
"cloud","michael","200","TX","federal:house","TX27","I","M",1.314,1.541,1899,"798397.1 USD",NA,NA,NA,NA
"roy","chip","200","TX","federal:house","TX21","I","M",1.542,1.469,14360,"2899549.54 USD",NA,NA,NA,NA
"fletcher","elizabeth","100","TX","federal:house","TX07","I","F",-0.604,-0.835,12139,"2440397.07 USD",NA,NA,NA,NA
"gooden","lance","200","TX","federal:house","TX05","I","M",1.222,1.378,2865,"1136643.85 USD",NA,NA,NA,NA
"smith","kasandra","100","TN","federal:house","TN09","C","F",-1.33,-0.945,11,"10795 USD",NA,NA,NA,NA
"rose","john","200","TN","federal:house","TN06","I","M",1.364,1.388,5672,"1861461.35 USD",NA,NA,NA,NA
"johnson","dusty","200","SD","federal:house","SD01","I","M",1.083,1.254,3523,"4377059.46 USD",NA,NA,NA,NA
"timmons","william","200","SC","federal:house","SC04","I","M",1.1,1.228,2177,"2312884.39 USD",NA,NA,NA,NA
"wild","susan","100","PA","federal:house","PA07","I","F",-0.962,-0.802,31543,"8960927.65 USD",NA,NA,NA,NA
"joyce","john","200","PA","federal:house","PA13","I","M",0.903,0.987,1688,"2258417.8 USD",NA,NA,NA,NA
"scanlon","mary","100","PA","federal:house","PA05","I","F",-0.881,-0.758,6813,"1532211.38 USD",NA,NA,NA,NA
"thompson","glenn","200","PA","federal:house","PA15","I","M",1.005,1.201,4858,"2857767.11 USD",NA,NA,NA,NA
"mcleod skinner","jamie","100","OR","federal:house","OR05","C","F",-1.017,-0.935,12532,"818996.72 USD",NA,NA,NA,NA
"lyras","louis","100","OH","federal:house","OH06","O","M",-0.591,-0.532,79,"2182 USD",NA,NA,NA,NA
"morelle","joseph","100","NY","federal:house","NY25","I","M",-0.67,-0.552,6693,"2154064.87 USD",NA,NA,NA,NA
"ryan","patrick","100","NY","federal:house","NY18","I","M",-0.822,-0.832,19707,"8143126.11 USD",NA,NA,NA,NA
"meeks","gregory","100","NY","federal:house","NY05","I","M",-0.266,-0.652,5773,"3048026.76 USD",NA,NA,NA,NA
"sherrill","mikie","100","NJ","federal:house","NJ11","I","F",-0.905,-0.891,31923,"4557540.15 USD",NA,NA,NA,NA
"vandrew","jeff","200","NJ","federal:house","NJ02","I","M",1.352,NA,42519,"3233277.47 USD",NA,NA,NA,NA
"armstrong","kelly","200","ND","federal:house","ND01","I","M",1.05,1.295,2482,"893118.45 USD",NA,NA,NA,NA
"guest","michael","200","MS","federal:house","MS03","I","M",1.18,1.275,1818,"925968.2 USD",NA,NA,NA,NA
"stauber","peter","200","MN","federal:house","MN08","I","M",1.178,1.344,4975,"2276284.45 USD",NA,NA,NA,NA
"phillips","dean","100","MN","federal:house","MN03","I","M",-0.628,-0.898,12337,"781655.5 USD",NA,NA,NA,NA
"waters","mary","100","MI","federal:house","MI13","C","F",-0.671,-0.749,573,"195310.05 USD",NA,NA,NA,NA
"slotkin","elissa","100","MI","federal:house","MI07","I","F",-0.992,-0.992,272587,"708162.35 USD",NA,NA,NA,NA
"pingree","chellie","100","ME","federal:house","ME01","I","F",-0.977,-0.907,11751,"670959.02 USD",NA,NA,NA,NA
"pressley","ayanna","100","MA","federal:house","MA07","I","F",-1.077,-0.776,30730,"1432055.24 USD",NA,NA,NA,NA
"linderman","hank","100","KY","federal:house","KY02","C","M",-0.948,-0.9,482,"41067.58 USD",NA,NA,NA,NA
"estes","ron","200","KS","federal:house","KS04","I","M",1.076,1.056,3611,"2287999.66 USD",NA,NA,NA,NA
"pence","gregory","200","IN","federal:house","IN06","I","M",1.011,1.344,5392,"526945.16 USD",NA,NA,NA,NA
"marter","james","200","IL","federal:house","IL14","C","M",1.482,1.624,397,"326753.53 USD",NA,NA,NA,NA
"foster","g william","100","IL","federal:house","IL11","I","M",-1.015,-0.915,15832,"3282466.22 USD",NA,NA,NA,NA
"lopez","raymond","100","IL","federal:house","IL04","C","M",0.095,NA,192,"82544 USD",NA,NA,NA,NA
"simpson","michael","200","ID","federal:house","ID02","I","M",0.738,1.26,5202,"1555834.51 USD",NA,NA,NA,NA
"miller meeks","mariannette","200","IA","federal:house","IA01","I","F",1.284,1.384,17684,"5575998.7 USD",NA,NA,NA,NA
"mcbath","lucia","100","GA","federal:house","GA06","I","F",-0.843,NA,51944,"2454303.29 USD",NA,NA,NA,NA
"cherfilus mccormick","sheila","100","FL","federal:house","FL20","I","F",-0.153,-0.386,1001,"639178.7 USD",NA,NA,NA,NA
"waltz","michael","200","FL","federal:house","FL06","I","M",1.187,1.374,11480,"2820255.6 USD",NA,NA,NA,NA
"hayes","jahana","100","CT","federal:house","CT05","I","F",-0.966,NA,14228,"4218172.13 USD",NA,NA,NA,NA
"crow","jason","100","CO","federal:house","CO06","I","M",-0.98,NA,23269,"2208412.11 USD",NA,NA,NA,NA
"neguse","joseph","100","CO","federal:house","CO02","I","M",-0.776,-0.801,13043,"2433594.3 USD",NA,NA,NA,NA
"levin","mike","100","CA","federal:house","CA49","I","M",-0.963,-1.012,25406,"5679155.07 USD",NA,NA,NA,NA
"kim","young","200","CA","federal:house","CA40","I","F",1.303,1.122,70599,"9244755.74 USD",NA,NA,NA,NA
"duenas","angelica","100","CA","federal:house","CA29","O","F",-1.099,-1.118,2862,"119777.59 USD",NA,NA,NA,NA
"harder","josh","100","CA","federal:house","CA09","I","M",-0.98,-1.057,37655,"5415539.47 USD",NA,NA,NA,NA
"thompson","mike","100","CA","federal:house","CA04","I","M",-0.594,-0.415,8625,"2434299.38 USD",NA,NA,NA,NA
"lesko","debbie","200","AZ","federal:house","AZ08","I","F",1.325,1.407,6536,"370273.95 USD",NA,NA,NA,NA
"gallagher","michael","200","WI","federal:house","WI08","I","M",0.763,1.18,6967,"2121829.26 USD",NA,NA,NA,NA
"jayapal","pramila","100","WA","federal:house","WA07","I","F",-1.073,-0.913,44177,"2824206.25 USD",NA,NA,NA,NA
"arrington","jodey","200","TX","federal:house","TX19","I","M",1.052,1.304,3909,"3269201.47 USD",NA,NA,NA,NA
"babin","brian","200","TX","federal:house","TX36","I","M",1.132,1.296,3507,"1192438.26 USD",NA,NA,NA,NA
"hyman","mal","100","SC","federal:house","SC07","C","M",-1.07,-1.05,822,"89555.08 USD",NA,NA,NA,NA
"smucker","lloyd","200","PA","federal:house","PA11","I","M",1.051,1.192,3280,"1827917.74 USD",NA,NA,NA,NA
"evans","dwight","100","PA","federal:house","PA03","I","M",-0.673,-0.564,7753,"976087.83 USD",NA,NA,NA,NA
"jordan","james","200","OH","federal:house","OH04","I","M",1.516,1.606,113765,"13512268.9 USD",NA,NA,NA,NA
"lee","susie","100","NV","federal:house","NV03","I","F",-0.703,-0.724,16468,"6071959.21 USD",NA,NA,NA,NA
"gottheimer","josh","100","NJ","federal:house","NJ05","I","M",-0.23,-0.708,15275,"10246423.95 USD",NA,NA,NA,NA
"kelly","john","200","MS","federal:house","MS01","I","M",1.142,NA,2258,"1281874.14 USD",NA,NA,NA,NA
"craig","angela","100","MN","federal:house","MN02","I","F",-0.881,-0.911,29575,"8288031.44 USD",NA,NA,NA,NA
"trone","david","100","MD","federal:house","MD06","I","M",-0.372,-0.641,4812,"127666273.18 USD",NA,NA,NA,NA
"raskin","jamie","100","MD","federal:house","MD08","I","M",-1.075,-0.759,53348,"4843711.39 USD",NA,NA,NA,NA
"johnson","james","200","LA","federal:house","LA04","I","M",1.413,1.497,84642,"19867069.39 USD",NA,NA,NA,NA
"comer","james","200","KY","federal:house","KY01","I","M",1.294,1.214,42174,"7650141.57 USD",NA,NA,NA,NA
"houchin","erin","200","IN","federal:house","IN09","I","F",1.052,1.255,2049,"1723766 USD",NA,NA,NA,NA
"krishnamoorthi","s raja","100","IL","federal:house","IL08","I","M",-0.808,-0.824,46113,"10897838.27 USD",NA,NA,NA,NA
"ferguson","anderson","200","GA","federal:house","GA03","I","M",1.005,NA,5860,"885616.08 USD",NA,NA,NA,NA
"mast","brian","200","FL","federal:house","FL21","I","M",1.36,1.476,37161,"3998823.63 USD",NA,NA,NA,NA
"bilirakis","gus","200","FL","federal:house","FL12","I","M",0.916,1.031,8848,"1804425.78 USD",NA,NA,NA,NA
"rutherford","john","200","FL","federal:house","FL05","I","M",0.655,1.102,1520,"897299.59 USD",NA,NA,NA,NA
"gaetz","matt","200","FL","federal:house","FL01","I","M",1.539,1.235,22151,"6772979.08 USD",NA,NA,NA,NA
"lamborn","douglas","200","CO","federal:house","CO05","I","M",0.683,1.202,2469,"228768.51 USD",NA,NA,NA,NA
"degette","diana","100","CO","federal:house","CO01","I","F",-0.738,-0.915,8577,"1103161.98 USD",NA,NA,NA,NA
"correa","lou","100","CA","federal:house","CA46","I","M",-0.346,-0.752,5120,"1385045.32 USD",NA,NA,NA,NA
"carbajal","salud","100","CA","federal:house","CA24","I","M",-0.847,-1.042,3991,"2037379.78 USD",NA,NA,NA,NA
"panetta","jimmy","100","CA","federal:house","CA19","I","M",-0.304,-0.999,5488,"3357555.24 USD",NA,NA,NA,NA
"biggs","andy","200","AZ","federal:house","AZ05","I","M",1.558,1.494,8205,"1383059.41 USD",NA,NA,NA,NA
"walker","christopher","200","WV","federal:house","WV02","O","M",1.557,NA,10334,"867830.3 USD",NA,NA,NA,NA
"cain","dennis","200","WV","federal:house","WV02","O","M",1.69,NA,113,"128060.54 USD",NA,NA,NA,NA
"moore","riley","200","WV","federal:house","WV02","O","M",1.064,1.101,4077,"1443700.37 USD",NA,NA,NA,NA
"holden","wes","328","WV","federal:house","WV01","C","M",-1.174,NA,28,"54916.37 USD",NA,NA,NA,NA
"evans","jonathan","200","WV","federal:house","WV01","C","M",1.542,NA,2050,"1062145.01 USD",NA,NA,NA,NA
"lyerly","kristin","100","WI","federal:house","WI08","O","F",-1.052,-0.947,42381,"2802201.67 USD",NA,NA,NA,NA
"roth","roger","200","WI","federal:house","WI08","O","M",1.276,1.355,3934,"776196.61 USD",NA,NA,NA,NA
"kilbourn","kyle","100","WI","federal:house","WI07","C","M",-1.071,NA,1390,"233031.36 USD",NA,NA,NA,NA
"grothman","glenn","200","WI","federal:house","WI06","I","M",1.409,1.432,6354,"998213.83 USD",NA,NA,NA,NA
"moore","gwen","100","WI","federal:house","WI04","I","F",-0.707,-0.921,4197,"1356549.62 USD",NA,NA,NA,NA
"shankland","katrina","100","WI","federal:house","WI03","C","F",-1.066,-0.952,7904,"979501.34 USD",NA,NA,NA,NA
"cooke","rebecca","100","WI","federal:house","WI03","C","F",-0.989,NA,39614,"12716117.3 USD",NA,NA,NA,NA
"santos","lorenzo","100","WI","federal:house","WI01","C","M",-1.091,NA,193,"25593.83 USD",NA,NA,NA,NA
"chaudhry","melissa","100","WA","federal:house","WA09","C","F",-1.411,NA,185,"227467.53 USD",NA,NA,NA,NA
"sheth","nirav","200","WA","federal:house","WA10","C","M",1.973,NA,10,"26855 USD",NA,NA,NA,NA
"macewen","drew","200","WA","federal:house","WA06","O","M",1.241,1.255,1423,"255579.9 USD",NA,NA,NA,NA
"randall","emily","100","WA","federal:house","WA06","O","F",-0.919,-0.859,8739,"1978942.81 USD",NA,NA,NA,NA
"welde","matthew","100","WA","federal:house","WA05","C","M",-1.264,NA,70,"30035.06 USD",NA,NA,NA,NA
"bingle","jonathan","200","WA","federal:house","WA05","C","M",1.404,NA,25,"22243 USD",NA,NA,NA,NA
"dansel","brian","200","WA","federal:house","WA05","C","M",1.931,1.26,315,"225321 USD",NA,NA,NA,NA
"bank","bernadine","100","WA","federal:house","WA05","C","F",-0.981,NA,2805,"350038.38 USD",NA,NA,NA,NA
"danimus","ann","100","WA","federal:house","WA05","C","F",-1.038,-1.042,2401,"422965.98 USD",NA,NA,NA,NA
"smiley","tiffany","200","WA","federal:house","WA04","C","F",1.505,1.585,63012,"1068851.73 USD",NA,NA,NA,NA
"lewallen","leslie","200","WA","federal:house","WA03","C","F",1.397,NA,3072,"840312.9 USD",NA,NA,NA,NA
"brewer","james","200","WA","federal:house","WA01","C","M",1.455,NA,14,"14151 USD",NA,NA,NA,NA
"nasar","ahsan","100","VA","federal:house","VA11","C","M",-0.938,NA,293,"110845.09 USD",NA,NA,NA,NA
"maldonado","michelle","100","VA","federal:house","VA10","O","F",-0.828,NA,392,"118124.41 USD",NA,NA,NA,NA
"devoe","marion","100","VA","federal:house","VA10","O","M",-1.158,NA,80,"10395 USD",NA,NA,NA,NA
"nembhard","travis","100","VA","federal:house","VA10","O","M",-0.755,NA,378,"124051.04 USD",NA,NA,NA,NA
"qarni","atif","100","VA","federal:house","VA10","O","M",-0.912,-0.869,772,"363301 USD",NA,NA,NA,NA
"boysko","jennifer","100","VA","federal:house","VA10","O","F",-0.783,-0.916,2431,"619261.99 USD",NA,NA,NA,NA
"leighton","mark","100","VA","federal:house","VA10","O","M",-0.765,NA,15,"8472.65 USD",NA,NA,NA,NA
"kaul","krystle","100","VA","federal:house","VA10","O","F",-0.451,NA,768,"1119274.51 USD",NA,NA,NA,NA
"kennedy","david","328","VA","federal:house","VA08","C","M",-1.872,NA,5,"16418.46 USD",NA,NA,NA,NA
"beyer","donald","100","VA","federal:house","VA08","I","M",-0.721,-0.856,7778,"1941744.81 USD",NA,NA,NA,NA
"martin","maria","200","VA","federal:house","VA07","O","F",1.303,NA,23,"25144.35 USD",NA,NA,NA,NA
"sacks","jeffrey","200","VA","federal:house","VA07","O","M",1.791,NA,17,"57203.77 USD",NA,NA,NA,NA
"guzman","elizabeth","100","VA","federal:house","VA07","O","F",-0.762,-0.818,2972,"318181.97 USD",NA,NA,NA,NA
"sewell","briana","100","VA","federal:house","VA07","O","F",-0.823,NA,1658,"292143.39 USD",NA,NA,NA,NA
"vindman","yevgeny","100","VA","federal:house","VA07","O","M",-1.029,NA,192009,"18096189.51 USD",NA,NA,NA,NA
"myers","jonathon","200","VA","federal:house","VA07","O","M",1.453,NA,416,"160081.36 USD",NA,NA,NA,NA
"moher","william","200","VA","federal:house","VA04","O","M",1.634,NA,14,"413819.27 USD",NA,NA,NA,NA
"grandon","rod","100","VA","federal:house","VA06","C","M",-1.014,NA,31,"9844.4 USD",NA,NA,NA,NA
"witt","gloria","100","VA","federal:house","VA05","C","F",-1.005,NA,1384,"362896.5 USD",NA,NA,NA,NA
"mcclellan","jennifer","100","VA","federal:house","VA04","C","F",-0.998,-0.855,5905,"2767794.48 USD",NA,NA,NA,NA
"denton","jake","100","VA","federal:house","VA02","C","M",-0.391,NA,497,"388964.2 USD",NA,NA,NA,NA
"mehta","leslie","100","VA","federal:house","VA01","C","F",-0.965,NA,2611,"722446.49 USD",NA,NA,NA,NA
"dahlin","kathryn","200","UT","federal:house","UT03","O","F",0.865,NA,38,"87881.25 USD",NA,NA,NA,NA
"dougall","john","200","UT","federal:house","UT03","O","M",1.352,1.353,424,"392290.28 USD",NA,NA,NA,NA
"kennedy","mike","200","UT","federal:house","UT03","O","M",1.208,1.366,2190,"1032661.67 USD",NA,NA,NA,NA
