"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
361031583211013,8,11,16,18,19,0,3,22,3,NA,1,1,2,1,1
360290125014006,31,8,4,24,24,0,5,35,4,NA,1,1,NA,1,2
360979502002006,2,1,2,1,4,0,1,2,0,NA,NA,NA,NA,NA,NA
361031350022007,6,2,11,12,10,0,5,18,0,NA,NA,1,1,1,1
360290175011001,4,1,2,4,5,0,0,5,0,NA,1,NA,NA,NA,2
360050391001002,2,0,1,4,0,0,0,0,4,NA,NA,NA,NA,NA,NA
360930331022002,4,0,4,4,5,0,3,7,0,NA,1,NA,NA,1,2
360593008001017,8,12,2,10,12,0,5,14,4,NA,1,NA,NA,NA,NA
360670110222005,110,89,128,147,208,0,49,237,69,1,1,1,1,1,2
361130730003047,5,3,13,11,12,0,3,11,6,NA,1,NA,NA,1,1
360930331023009,10,2,6,7,11,0,0,9,3,NA,NA,NA,NA,NA,NA
360550137022011,10,5,12,16,12,0,5,20,0,NA,1,1,3,1,1
360734013002033,0,1,4,3,3,0,3,4,0,NA,1,NA,NA,1,3
360630207002010,22,7,7,18,25,0,6,28,5,1,1,NA,NA,1,2
361119501002026,6,9,10,14,13,0,4,9,13,NA,1,1,NA,4,5
360810214003015,31,12,2,28,18,0,0,0,45,NA,NA,NA,NA,NA,NA
360210010004027,2,2,2,4,2,0,1,5,0,NA,1,NA,NA,NA,NA
360099605002004,1,4,13,11,9,0,4,12,3,NA,1,NA,1,NA,3
360870130021012,88,80,110,156,150,0,48,204,20,1,1,1,2,1,2
361031226013020,10,5,1,9,10,0,2,6,4,NA,NA,NA,NA,NA,NA
361190098004015,21,15,7,19,26,0,9,24,5,1,1,NA,NA,NA,1
360070119021005,1,1,3,3,2,0,1,4,0,NA,1,1,NA,NA,5
360670117002009,2,7,6,6,11,0,2,5,4,NA,3,1,3,1,3
361031580021014,19,10,9,16,26,0,7,17,14,NA,1,NA,2,NA,2
360710142021006,12,15,23,23,29,1,17,32,10,1,1,2,1,2,1
360830410001012,3,1,0,2,4,0,2,1,2,NA,NA,NA,NA,NA,NA
360594113021015,26,29,41,47,52,0,11,64,17,NA,1,1,1,1,1
360594096004003,20,25,42,44,48,0,13,47,22,NA,1,NA,1,NA,2
360670146003058,15,4,14,18,18,0,4,20,0,NA,3,1,8,1,3
360450625002050,2,2,4,6,2,0,0,3,0,NA,NA,NA,NA,NA,NA
360810168002005,31,6,2,16,25,0,2,10,24,NA,1,NA,NA,2,2
360550143022032,6,13,12,15,19,0,6,21,6,NA,1,NA,NA,2,2
