"election","lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","total.disbursements","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"fd2024","mcclintock","thomas","200","CA","federal:house","CA05","I","M",1.197,1.254,19416,1171016.98,1160351.97,NA,NA,NA,NA
"fd2024","blumenauer","earl","100","OR","federal:house","OR03","I","M",-0.662,-0.787,7377,1042682.68,819428.15,NA,NA,NA,NA
"fd2024","mfume","kweisi","100","MD","federal:house","MD07","I","M",-0.672,-0.694,3374,533861.78,431365.07,NA,NA,NA,NA
"fd2024","castor","kathy","100","FL","federal:house","FL14","I","F",-0.644,-0.654,7206,1166739.26,1290979.28,NA,NA,NA,NA
"fd2024","matsui","doris","100","CA","federal:house","CA07","I","F",-0.705,-0.802,4540,1239231.82,1113903.11,NA,NA,NA,NA
"fd2024","green","alexander","100","TX","federal:house","TX09","I","M",-0.678,-0.556,1881,392514.28,439824.17,NA,NA,NA,NA
"fd2024","cleaver","emanuel","100","MO","federal:house","MO05","I","M",-0.612,-0.62,4747,1385775.6,1457206.59,NA,NA,NA,NA
"fd2024","costa","jim","100","CA","federal:house","CA21","I","M",-0.117,-0.621,5917,1705407.96,1885604.27,NA,NA,NA,NA
"fd2024","sanchez","linda","100","CA","federal:house","CA38","I","F",-0.686,-0.725,5904,1548292.39,1565648.93,NA,NA,NA,NA
"fd2024","mccollum","betty","100","MN","federal:house","MN04","I","F",-0.665,-0.904,6608,1789789.09,1542549.43,NA,NA,NA,NA
"fd2024","delauro","rosa","100","CT","federal:house","CT03","I","F",-0.823,-0.562,9509,1751634.69,1639641.5,NA,NA,NA,NA
"fd2024","garamendi","john","100","CA","federal:house","CA08","I","M",-0.595,-0.732,8947,1113065.76,969795.57,NA,NA,NA,NA
"fd2024","svitavsky","jon","100","VT","federal:senate","VTS18","C","M",-1.051,NA,26,0,0,NA,NA,NA,NA
"fd2024","writz","raymond","328","ID","federal:senate","IDS22","C","M",1.198,1.32,11,190,232.99,NA,NA,NA,NA
"fd2024","jones","lateresa","200","FL","federal:senate","FLS18","C","F",1.428,NA,18,31,78.21,NA,NA,NA,NA
"fd2024","morrow","scott","100","WY","federal:senate","WYS24","C","M",-1.039,NA,528,45707.29,44872.92,NA,NA,NA,NA
"fd2024","hassan","ahmad","100","TX","federal:senate","TXS24","C","M",-0.407,-0.583,15,2440,9655.18,NA,NA,NA,NA
"fd2024","arguijo","aaron","100","TX","federal:senate","TXS24","C","M",-1.078,-0.928,235,0,0,NA,NA,NA,NA
"fd2024","tomasetti","brandi","200","PA","federal:senate","PAS24","C","F",1.545,NA,11,0,0,NA,NA,NA,NA
"fd2024","walker","troy","100","NV","federal:senate","NVS24","C","M",-1.123,NA,9,705,675.66,NA,NA,NA,NA
"fd2024","gonzales","manuel","200","NM","federal:senate","NMS24","C","M",-0.233,NA,9,4605.07,4605.07,NA,NA,NA,NA
"fd2024","mele","gregg","200","NJ","federal:senate","NJS24","C","M",1.217,NA,17,0,0,NA,NA,NA,NA
"fd2024","munro","patrick","200","MN","federal:senate","MNS24","C","M",1.551,1.591,7,0,0,NA,NA,NA,NA
"fd2024","barakat","mohammed","200","MD","federal:senate","MDS24","O","M",-1.69,NA,10,2211.86,2211.86,NA,NA,NA,NA
"fd2024","packard","aaron","200","MA","federal:senate","MAS24","C","M",1.517,1.247,50,630.14,293.33,NA,NA,NA,NA
"fd2024","travis","marshall","100","IN","federal:senate","INS24","O","M",-1.108,NA,5,0,0,NA,NA,NA,NA
"fd2024","sanscrainte","matthew","100","FL","federal:senate","FLS24","C","M",-1.096,NA,2,0,0,NA,NA,NA,NA
"fd2024","peterson","david","100","CA","federal:senate","CAS24","C","M",-0.877,NA,150,0,0,NA,NA,NA,NA
"fd2024","mandela","barack","200","CA","federal:senate","CAS24","O","U",-1.478,NA,2,0,0,NA,NA,NA,NA
"fd2024","fennell","jeremy","100","CA","federal:senate","CAS24","O","M",-1.025,NA,25,0,0,NA,NA,NA,NA
"fd2024","reye","elizabeth","200","AZ","federal:senate","AZS24","O","F",0.283,NA,5,0,0,NA,NA,NA,NA
"fd2024","barlow","william","100","OR","federal:senate","ORS28","C","M",-0.989,-0.002,3,0,0,NA,NA,NA,NA
"fd2024","conrad","william","200","NV","federal:senate","NVS22","C","M",1.253,NA,3,12476,16259.56,NA,NA,NA,NA
"fd2024","sibhatu","lichia","200","NC","federal:senate","NCS26","C","U",2.026,2.046,6,0,0,NA,NA,NA,NA
"fd2024","allen","robert","200","MO","federal:senate","MOS22","O","M",1.837,1.777,2,823.76,823.76,NA,NA,NA,NA
"fd2024","klingenberg","robert","100","KS","federal:senate","KSS22","C","M",NA,NA,25,0,238.57,NA,NA,NA,NA
"fd2024","horning","andy","328","IN","federal:senate","INS24","C","M",1.382,1.412,141,1446,1246.44,NA,NA,NA,NA
"fd2024","pastrana","allek","100","FL","federal:senate","FLS22","C","U",-1.158,-1.155,188,0,0,NA,NA,NA,NA
"fd2024","ingram","denard","100","CA","federal:senate","CAS24","C","M",-1.103,NA,7,0,0,NA,NA,NA,NA
"fd2024","cummings","daniel","328","00","federal:president","PRES","C","M",1.895,1.572,10,232.87,0,NA,NA,NA,NA
"fd2024","october","president","200","00","federal:president","PRES","C","M",-1.652,NA,47,0,0,NA,NA,NA,NA
"fd2024","cornejo","gabriel","100","00","federal:president","PRES","C","M",-1.134,NA,20,0,0,NA,NA,NA,NA
"fd2024","charles","celina","328","00","federal:president","PRES","C","F",-1.206,NA,6,0,0,NA,NA,NA,NA
"fd2024","lozada","frank","100","00","federal:president","PRES","C","M",-0.977,NA,25,0,0,NA,NA,NA,NA
"fd2024","gailey","william","100","00","federal:president","PRES","C","M",-1.121,-1.13,3,0,0,NA,NA,NA,NA
"fd2024","campbell","christopher","100","00","federal:president","PRES","C","M",-1.181,NA,3,0,0,NA,NA,NA,NA
"fd2024","i","kurios","328","00","federal:president","PRES","C","",-1.071,NA,2,0,0,NA,NA,NA,NA
"fd2024","roose","rodger","100","00","federal:president","PRES","C","M",-0.896,NA,3,0,0,NA,NA,NA,NA
"fd2024","steele","dayna","100","TX","federal:house","TX36","C","F",-1.158,-0.978,1707,0,0,NA,NA,NA,NA
"fd2024","brannon","mary","100","OK","federal:house","OK04","C","F",-1.217,-0.98,89,0,0,NA,NA,NA,NA
"fd2024","enoch","vanessa","100","OH","federal:house","OH08","C","F",-0.999,-0.928,683,0,0,NA,NA,NA,NA
"fd2024","sablan","gregorio","100","MP","federal:house","MP01","I","M",NA,-0.657,445,2151.01,27901.19,NA,NA,NA,NA
"fd2024","cooper","james","328","GA","federal:house","GA08","C","M",-1.305,-1.249,6,80,81.13,NA,NA,NA,NA
